MANDT|BUKRS|WERKS|MATNR|MENGE|MEINS|NETWR|WAERS|BLDAT|MATKL
100|1000|PL01|DIESEL-001|5000.000|L|4250.00|EUR|20240115|ROE
100|1000|PL01|DIESEL-001|4800.000|L|4080.00|EUR|20240215|ROE
100|1000|PL02|NATGAS-004|12000.000|M3|3100.00|EUR|20240201|ROG
100|1000|PL02|NATGAS-004|11500.000|M3|2950.00|EUR|20240301|ROG
100|1000|PL01|PETROL-002|2500.000|L|3200.00|EUR|20240110|ROB
100|1000|PL03|ELEC-STD|45000.000|KWH|5400.00|EUR|20240131|ELEK
100|1000|PL03|ELEC-STD|42000.000|KWH|5040.00|EUR|20240228|ELEK
100|1000|PL01|LPG-003|3000.000|L|1800.00|EUR|20240315|ROL
100|1000|PL02|DIESEL-001|6200.000|L|5270.00|EUR|20240320|ROE
100|1000|PL01|NATGAS-004|9800.000|M3|2520.00|EUR|20240105|ROG
100|1000|PL03|ELEC-PEAK|38000.000|KWH|5700.00|EUR|20240315|ELEK
100|1000|PL01|DIESEL-001|5100.000|L|4335.00|EUR|20240401|ROE
